CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
46	25581	920768	2.70	946349
47	29201	899368	3.14	928569
48	22085	878262	2.45	900347
49	27071	860138	3.05	887209
50	22848	848862	2.62	871710
51	20629	830745	2.42	851374
52	21277	814324	2.55	835601
53	25179	797813	3.06	822992
54	19934	783680	2.48	803614
55	18840	775074	2.37	793914
56	21687	757117	2.78	778804
57	19082	735835	2.53	754917
58	19878	725167	2.67	745045
59	21672	706580	2.98	728252
60	14307	698038	2.01	712345
61	16709	681715	2.39	698424
62	20284	670575	2.94	690859
63	15301	650678	2.30	665979
64	17969	639872	2.73	657841
65	17162	629432	2.65	646594
66	14684	614825	2.33	629509
67	17417	602585	2.81	620002
68	15566	587772	2.58	603338
69	15225	574656	2.58	589881
70	13204	561854	2.30	575058
71	17305	552396	3.04	569701
72	12392	537777	2.25	550169
73	14251	525231	2.64	539482
74	17260	516491	3.23	533751
75	12235	506338	2.36	518573
76	14580	491889	2.88	506469
77	14731	481428	2.97	496159
78	10875	472223	2.25	483098
79	14015	461050	2.95	475065
80	13642	450557	2.94	464199
81	11038	440018	2.45	451056
82	12250	431796	2.76	444046
83	14190	421508	3.26	435698
84	12414	415441	2.90	427855
85	12001	408415	2.85	420416
86	12605	400248	3.05	412853
87	10553	390786	2.63	401339
88	10442	380036	2.67	390478
89	14336	372238	3.71	386574
90	8585	364233	2.30	372818
91	10279	354569	2.82	364848
92	11646	348350	3.24	359996
93	9955	339867	2.85	349822
94	12199	335628	3.51	347827
