,id,type
789,FUN_006919,gene
790,FUN_005961,gene
791,FUN_007760,gene
792,FUN_008098,gene
793,FUN_008884,gene
794,FUN_010802,gene
795,FUN_013620,gene
796,FUN_011975,gene
797,FUN_012068,gene
798,FUN_014710,gene
799,FUN_014987,gene
800,FUN_016031,gene
801,FUN_018032,gene
802,FUN_019560,gene
803,FUN_022644,gene
804,FUN_022239,gene
805,FUN_022498,gene
806,FUN_023801,gene
807,FUN_022837,gene
808,FUN_023285,gene
809,FUN_022856,gene
810,FUN_024932,gene
811,FUN_024614,gene
812,FUN_026673,gene
813,FUN_027984,gene
814,FUN_027723,gene
815,FUN_030198,gene
816,FUN_031741,gene
817,FUN_032046,gene
818,FUN_030046,gene
819,FUN_034359,gene
820,FUN_034438,gene
821,FUN_035409,gene
822,FUN_037952,gene
823,FUN_039860,gene
824,FUN_041521,gene
825,FUN_041999,gene
826,FUN_042624,gene
827,FUN_043653,gene
828,FUN_042846,gene
829,FUN_001282,gene
830,FUN_001459,gene
831,FUN_000222,gene
832,FUN_000984,gene
833,FUN_003806,gene
834,FUN_003881,gene
835,FUN_004005,gene
836,FUN_002529,gene
837,FUN_002379,gene
838,FUN_010016,gene
839,FUN_010832,gene
840,FUN_011255,gene
841,FUN_012774,gene
842,FUN_014266,gene
843,FUN_012126,gene
844,FUN_022390,gene
845,FUN_023158,gene
846,FUN_025673,gene
847,FUN_027835,gene
848,FUN_028022,gene
849,FUN_031322,gene
850,FUN_031653,gene
851,FUN_029339,gene
852,FUN_034212,gene
853,FUN_034301,gene
854,FUN_036077,gene
855,FUN_035117,gene
856,FUN_035477,gene
857,FUN_036755,gene
858,FUN_038755,gene
859,FUN_042257,gene
860,FUN_044018,gene
861,FUN_001453,gene
862,FUN_001035,gene
863,FUN_004362,gene
864,FUN_006872,gene
865,FUN_008978,gene
866,FUN_015782,gene
867,FUN_015359,gene
868,FUN_016486,gene
869,FUN_023035,gene
870,FUN_022828,gene
871,FUN_024765,gene
872,FUN_024769,gene
873,FUN_025224,gene
874,FUN_026711,gene
875,FUN_026403,gene
